Date,Sector,Value,Of_Total,Yearly_Total,Percentage
2011,Health care and social assistance ,2084100,12.1,17220800,12.10%
2012,Health care and social assistance ,2141000,12.28,17437900,12.28%
2013,Health care and social assistance ,2189900,12.38,17691100,12.38%
2014,Health care and social assistance ,2219700,12.47,17802200,12.47%
2015,Health care and social assistance ,2292300,12.77,17946400,12.77%
2016,Health care and social assistance ,2339300,12.94,18080000,12.94%
2017,Health care and social assistance ,2383200,12.94,18416400,12.94%
2018,Health care and social assistance ,2406700,12.9,18657700,12.90%
2019,Health care and social assistance ,2489700,13.07,19055500,13.07%
1976,"Information, culture and recreation ",346700,3.56,9747700,3.56%
1977,"Information, culture and recreation ",359800,3.63,9917100,3.63%
1978,"Information, culture and recreation ",378000,3.7,10220000,3.70%
1979,"Information, culture and recreation ",396300,3.71,10668500,3.71%
1980,"Information, culture and recreation ",403400,3.67,10984000,3.67%
1981,"Information, culture and recreation ",427200,3.78,11305100,3.78%
1982,"Information, culture and recreation ",440400,4.02,10943600,4.02%
1983,"Information, culture and recreation ",451300,4.09,11021900,4.09%
1984,"Information, culture and recreation ",438300,3.88,11301800,3.88%
1985,"Information, culture and recreation ",434600,3.73,11658000,3.73%
1986,"Information, culture and recreation ",463300,3.86,12008500,3.86%
1987,"Information, culture and recreation ",511100,4.14,12333100,4.14%
1988,"Information, culture and recreation ",507800,4,12709600,4.00%
1989,"Information, culture and recreation ",528600,4.07,12996200,4.07%
1990,"Information, culture and recreation ",515500,3.94,13086400,3.94%
1991,"Information, culture and recreation ",499100,3.88,12857500,3.88%
1992,"Information, culture and recreation ",492900,3.87,12730800,3.87%
1993,"Information, culture and recreation ",503200,3.93,12792700,3.93%
1994,"Information, culture and recreation ",537400,4.12,13058800,4.12%
1995,"Information, culture and recreation ",567700,4.27,13295500,4.27%
1996,"Information, culture and recreation ",578200,4.31,13420100,4.31%
1997,"Information, culture and recreation ",602100,4.39,13708300,4.39%
1998,"Information, culture and recreation ",613600,4.37,14047100,4.37%
1999,"Information, culture and recreation ",629200,4.37,14401900,4.37%
2000,"Information, culture and recreation ",667600,4.52,14760300,4.52%
2001,"Information, culture and recreation ",710000,4.75,14932400,4.75%
2002,"Information, culture and recreation ",712600,4.66,15291200,4.66%
2003,"Information, culture and recreation ",716000,4.57,15661100,4.57%
2004,"Information, culture and recreation ",733100,4.61,15915200,4.61%
2005,"Information, culture and recreation ",728000,4.52,16123500,4.52%
2006,"Information, culture and recreation ",737400,4.5,16395900,4.50%
2007,"Information, culture and recreation ",774800,4.62,16769400,4.62%
2008,"Information, culture and recreation ",749600,4.41,17010100,4.41%
2009,"Information, culture and recreation ",747300,4.47,16727600,4.47%
2010,"Information, culture and recreation ",762800,4.5,16964200,4.50%
2011,"Information, culture and recreation ",771900,4.48,17220800,4.48%
2012,"Information, culture and recreation ",759100,4.35,17437900,4.35%
2013,"Information, culture and recreation ",756700,4.28,17691100,4.28%
2014,"Information, culture and recreation ",757200,4.25,17802200,4.25%
2015,"Information, culture and recreation ",750600,4.18,17946400,4.18%
2016,"Information, culture and recreation ",782400,4.33,18080000,4.33%
2017,"Information, culture and recreation ",789300,4.29,18416400,4.29%
2018,"Information, culture and recreation ",786900,4.22,18657700,4.22%
2019,"Information, culture and recreation ",774000,4.06,19055500,4.06%
1976,Manufacturing,1861000,19.09,9747700,19.09%
1977,Manufacturing,1849400,18.65,9917100,18.65%
1978,Manufacturing,1914400,18.73,10220000,18.73%
1979,Manufacturing,2035100,19.08,10668500,19.08%
1980,Manufacturing,2080100,18.94,10984000,18.94%
1981,Manufacturing,2080000,18.4,11305100,18.40%
1982,Manufacturing,1872500,17.11,10943600,17.11%
1983,Manufacturing,1842800,16.72,11021900,16.72%
1984,Manufacturing,1920000,16.99,11301800,16.99%
1985,Manufacturing,1964100,16.85,11658000,16.85%
1986,Manufacturing,2033700,16.94,12008500,16.94%
1987,Manufacturing,2041000,16.55,12333100,16.55%
1988,Manufacturing,2100300,16.53,12709600,16.53%
1989,Manufacturing,2129700,16.39,12996200,16.39%
1990,Manufacturing,2050100,15.67,13086400,15.67%
1991,Manufacturing,1890200,14.7,12857500,14.70%
1992,Manufacturing,1814500,14.25,12730800,14.25%
1993,Manufacturing,1779200,13.91,12792700,13.91%
1994,Manufacturing,1823200,13.96,13058800,13.96%
1995,Manufacturing,1903800,14.32,13295500,14.32%
1996,Manufacturing,1924500,14.34,13420100,14.34%
1997,Manufacturing,2021200,14.74,13708300,14.74%
1998,Manufacturing,2103300,14.97,14047100,14.97%
1999,Manufacturing,2188200,15.19,14401900,15.19%
2000,Manufacturing,2242300,15.19,14760300,15.19%
2001,Manufacturing,2222000,14.88,14932400,14.88%
2002,Manufacturing,2288900,14.97,15291200,14.97%
2003,Manufacturing,2277400,14.54,15661100,14.54%
2004,Manufacturing,2297200,14.43,15915200,14.43%
2005,Manufacturing,2203400,13.67,16123500,13.67%
2006,Manufacturing,2102200,12.82,16395900,12.82%
2007,Manufacturing,2026000,12.08,16769400,12.08%
2008,Manufacturing,1927200,11.33,17010100,11.33%
2009,Manufacturing,1745100,10.43,16727600,10.43%
2010,Manufacturing,1710700,10.08,16964200,10.08%
2011,Manufacturing,1721800,10,17220800,10.00%
2012,Manufacturing,1746500,10.02,17437900,10.02%
2013,Manufacturing,1723100,9.74,17691100,9.74%
2014,Manufacturing,1711000,9.61,17802200,9.61%
2015,Manufacturing,1712400,9.54,17946400,9.54%
2016,Manufacturing,1694800,9.37,18080000,9.37%
2017,Manufacturing,1724800,9.37,18416400,9.37%
2018,Manufacturing,1728400,9.26,18657700,9.26%
2019,Manufacturing,1733100,9.1,19055500,9.10%
1976,Other services (except public administration),426900,4.38,9747700,4.38%
1977,Other services (except public administration),426500,4.3,9917100,4.30%
1978,Other services (except public administration),450700,4.41,10220000,4.41%
1979,Other services (except public administration),466000,4.37,10668500,4.37%
1980,Other services (except public administration),488400,4.45,10984000,4.45%
1981,Other services (except public administration),525900,4.65,11305100,4.65%
1982,Other services (except public administration),520900,4.76,10943600,4.76%
1983,Other services (except public administration),544300,4.94,11021900,4.94%
1984,Other services (except public administration),559900,4.95,11301800,4.95%
1985,Other services (except public administration),579500,4.97,11658000,4.97%
1986,Other services (except public administration),603900,5.03,12008500,5.03%
1987,Other services (except public administration),633100,5.13,12333100,5.13%
1988,Other services (except public administration),607200,4.78,12709600,4.78%
1989,Other services (except public administration),613500,4.72,12996200,4.72%
1990,Other services (except public administration),608100,4.65,13086400,4.65%
1991,Other services (except public administration),595600,4.63,12857500,4.63%
1992,Other services (except public administration),598000,4.7,12730800,4.70%
1993,Other services (except public administration),632500,4.94,12792700,4.94%
1994,Other services (except public administration),651900,4.99,13058800,4.99%
1995,Other services (except public administration),647200,4.87,13295500,4.87%
1996,Other services (except public administration),652900,4.87,13420100,4.87%
1997,Other services (except public administration),674700,4.92,13708300,4.92%
1998,Other services (except public administration),701200,4.99,14047100,4.99%
1999,Other services (except public administration),712300,4.95,14401900,4.95%
2000,Other services (except public administration),682700,4.63,14760300,4.63%
2001,Other services (except public administration),664500,4.45,14932400,4.45%
2002,Other services (except public administration),686100,4.49,15291200,4.49%
2003,Other services (except public administration),711700,4.54,15661100,4.54%
2004,Other services (except public administration),699900,4.4,15915200,4.40%
2005,Other services (except public administration),692000,4.29,16123500,4.29%
2006,Other services (except public administration),696200,4.25,16395900,4.25%
2007,Other services (except public administration),724300,4.32,16769400,4.32%
2008,Other services (except public administration),761100,4.47,17010100,4.47%
2009,Other services (except public administration),782600,4.68,16727600,4.68%
2010,Other services (except public administration),771400,4.55,16964200,4.55%
2011,Other services (except public administration),769500,4.47,17220800,4.47%
2012,Other services (except public administration),804900,4.62,17437900,4.62%
2013,Other services (except public administration),795300,4.5,17691100,4.50%
2014,Other services (except public administration),795100,4.47,17802200,4.47%
2015,Other services (except public administration),761800,4.24,17946400,4.24%
2016,Other services (except public administration),774900,4.29,18080000,4.29%
2017,Other services (except public administration),781300,4.24,18416400,4.24%
2018,Other services (except public administration),802900,4.3,18657700,4.30%
2019,Other services (except public administration),817400,4.29,19055500,4.29%
1976,"Professional, scientific and technical services",252600,2.59,9747700,2.59%
1977,"Professional, scientific and technical services",276200,2.79,9917100,2.79%
1978,"Professional, scientific and technical services",293900,2.88,10220000,2.88%
1979,"Professional, scientific and technical services",331200,3.1,10668500,3.10%
1980,"Professional, scientific and technical services",351000,3.2,10984000,3.20%
1981,"Professional, scientific and technical services",393400,3.48,11305100,3.48%
1982,"Professional, scientific and technical services",387400,3.54,10943600,3.54%
1983,"Professional, scientific and technical services",382600,3.47,11021900,3.47%
1984,"Professional, scientific and technical services",405300,3.59,11301800,3.59%
1985,"Professional, scientific and technical services",442600,3.8,11658000,3.80%
1986,"Professional, scientific and technical services",456300,3.8,12008500,3.80%
1987,"Professional, scientific and technical services",489700,3.97,12333100,3.97%
1988,"Professional, scientific and technical services",536600,4.22,12709600,4.22%
1989,"Professional, scientific and technical services",561700,4.32,12996200,4.32%
1990,"Professional, scientific and technical services",577400,4.41,13086400,4.41%
1991,"Professional, scientific and technical services",603600,4.69,12857500,4.69%
1992,"Professional, scientific and technical services",589900,4.63,12730800,4.63%
1993,"Professional, scientific and technical services",615800,4.81,12792700,4.81%
1994,"Professional, scientific and technical services",642300,4.92,13058800,4.92%
1995,"Professional, scientific and technical services",673900,5.07,13295500,5.07%
1996,"Professional, scientific and technical services",709200,5.28,13420100,5.28%
1997,"Professional, scientific and technical services",779800,5.69,13708300,5.69%
1998,"Professional, scientific and technical services",849400,6.05,14047100,6.05%
1999,"Professional, scientific and technical services",903400,6.27,14401900,6.27%
2000,"Professional, scientific and technical services",935700,6.34,14760300,6.34%
2001,"Professional, scientific and technical services",988100,6.62,14932400,6.62%
2002,"Professional, scientific and technical services",987200,6.46,15291200,6.46%
2003,"Professional, scientific and technical services",1002700,6.4,15661100,6.40%
2004,"Professional, scientific and technical services",1012900,6.36,15915200,6.36%
2005,"Professional, scientific and technical services",1041100,6.46,16123500,6.46%
2006,"Professional, scientific and technical services",1075200,6.56,16395900,6.56%
2007,"Professional, scientific and technical services",1124000,6.7,16769400,6.70%
2008,"Professional, scientific and technical services",1173400,6.9,17010100,6.90%
2009,"Professional, scientific and technical services",1149900,6.87,16727600,6.87%
2010,"Professional, scientific and technical services",1216100,7.17,16964200,7.17%
2011,"Professional, scientific and technical services",1264600,7.34,17220800,7.34%
2012,"Professional, scientific and technical services",1270700,7.29,17437900,7.29%
2013,"Professional, scientific and technical services",1310900,7.41,17691100,7.41%
2014,"Professional, scientific and technical services",1333300,7.49,17802200,7.49%
2015,"Professional, scientific and technical services",1365800,7.61,17946400,7.61%
2016,"Professional, scientific and technical services",1393700,7.71,18080000,7.71%
2017,"Professional, scientific and technical services",1448800,7.87,18416400,7.87%
2018,"Professional, scientific and technical services",1466800,7.86,18657700,7.86%
2019,"Professional, scientific and technical services",1555700,8.16,19055500,8.16%
1976,Public administration,644800,6.61,9747700,6.61%
1977,Public administration,665900,6.71,9917100,6.71%
1978,Public administration,673200,6.59,10220000,6.59%
1979,Public administration,659400,6.18,10668500,6.18%
1980,Public administration,694700,6.32,10984000,6.32%
1981,Public administration,725000,6.41,11305100,6.41%
1982,Public administration,717500,6.56,10943600,6.56%
1983,Public administration,734900,6.67,11021900,6.67%
1984,Public administration,757500,6.7,11301800,6.70%
1985,Public administration,766200,6.57,11658000,6.57%
1986,Public administration,781700,6.51,12008500,6.51%
1987,Public administration,765400,6.21,12333100,6.21%
1988,Public administration,781700,6.15,12709600,6.15%
1989,Public administration,803100,6.18,12996200,6.18%
1990,Public administration,841000,6.43,13086400,6.43%
1991,Public administration,852000,6.63,12857500,6.63%
1992,Public administration,865000,6.79,12730800,6.79%
1993,Public administration,861700,6.74,12792700,6.74%
1994,Public administration,834800,6.39,13058800,6.39%
1995,Public administration,818600,6.16,13295500,6.16%
1996,Public administration,806800,6.01,13420100,6.01%
1997,Public administration,795500,5.8,13708300,5.80%
1998,Public administration,781600,5.56,14047100,5.56%
1999,Public administration,777100,5.4,14401900,5.40%
2000,Public administration,774600,5.25,14760300,5.25%
2001,Public administration,785800,5.26,14932400,5.26%
2002,Public administration,794700,5.2,15291200,5.20%
2003,Public administration,822600,5.25,15661100,5.25%
2004,Public administration,830400,5.22,15915200,5.22%
2005,Public administration,835700,5.18,16123500,5.18%
2006,Public administration,834900,5.09,16395900,5.09%
2007,Public administration,865400,5.16,16769400,5.16%
2008,Public administration,910300,5.35,17010100,5.35%
2009,Public administration,918600,5.49,16727600,5.49%
2010,Public administration,920500,5.43,16964200,5.43%
2011,Public administration,920400,5.34,17220800,5.34%
2012,Public administration,924300,5.3,17437900,5.30%
2013,Public administration,918900,5.19,17691100,5.19%
2014,Public administration,910700,5.12,17802200,5.12%
2015,Public administration,907400,5.06,17946400,5.06%
2016,Public administration,927300,5.13,18080000,5.13%
2017,Public administration,961000,5.22,18416400,5.22%
2018,Public administration,969000,5.19,18657700,5.19%
2019,Public administration,1012800,5.32,19055500,5.32%
1976,Transportation and warehousing,563100,5.78,9747700,5.78%
1977,Transportation and warehousing,544600,5.49,9917100,5.49%
1978,Transportation and warehousing,566200,5.54,10220000,5.54%
1979,Transportation and warehousing,607800,5.7,10668500,5.70%
1980,Transportation and warehousing,625900,5.7,10984000,5.70%
1981,Transportation and warehousing,631300,5.58,11305100,5.58%
1982,Transportation and warehousing,598700,5.47,10943600,5.47%
1983,Transportation and warehousing,586200,5.32,11021900,5.32%
1984,Transportation and warehousing,604200,5.35,11301800,5.35%
1985,Transportation and warehousing,623500,5.35,11658000,5.35%
1986,Transportation and warehousing,626600,5.22,12008500,5.22%
1987,Transportation and warehousing,634000,5.14,12333100,5.14%
1988,Transportation and warehousing,656500,5.17,12709600,5.17%
1989,Transportation and warehousing,663100,5.1,12996200,5.10%
1990,Transportation and warehousing,645400,4.93,13086400,4.93%
1991,Transportation and warehousing,624200,4.85,12857500,4.85%
1992,Transportation and warehousing,609600,4.79,12730800,4.79%
1993,Transportation and warehousing,618600,4.84,12792700,4.84%
1994,Transportation and warehousing,644900,4.94,13058800,4.94%
1995,Transportation and warehousing,660800,4.97,13295500,4.97%
1996,Transportation and warehousing,673100,5.02,13420100,5.02%
1997,Transportation and warehousing,693700,5.06,13708300,5.06%
1998,Transportation and warehousing,713200,5.08,14047100,5.08%
1999,Transportation and warehousing,738300,5.13,14401900,5.13%
2000,Transportation and warehousing,773000,5.24,14760300,5.24%
2001,Transportation and warehousing,777900,5.21,14932400,5.21%
2002,Transportation and warehousing,757900,4.96,15291200,4.96%
2003,Transportation and warehousing,787900,5.03,15661100,5.03%
2004,Transportation and warehousing,805200,5.06,15915200,5.06%
2005,Transportation and warehousing,796000,4.94,16123500,4.94%
2006,Transportation and warehousing,798300,4.87,16395900,4.87%
2007,Transportation and warehousing,820600,4.89,16769400,4.89%
2008,Transportation and warehousing,849700,5,17010100,5.00%
2009,Transportation and warehousing,824600,4.93,16727600,4.93%
2010,Transportation and warehousing,814100,4.8,16964200,4.80%
2011,Transportation and warehousing,849500,4.93,17220800,4.93%
2012,Transportation and warehousing,857400,4.92,17437900,4.92%
2013,Transportation and warehousing,882900,4.99,17691100,4.99%
2014,Transportation and warehousing,896800,5.04,17802200,5.04%
2015,Transportation and warehousing,917200,5.11,17946400,5.11%
2016,Transportation and warehousing,907400,5.02,18080000,5.02%
2017,Transportation and warehousing,943700,5.12,18416400,5.12%
2018,Transportation and warehousing,990900,5.31,18657700,5.31%
2019,Transportation and warehousing,1037900,5.45,19055500,5.45%
1976,Utilities,109800,1.13,9747700,1.13%
1977,Utilities,107300,1.08,9917100,1.08%
1978,Utilities,109600,1.07,10220000,1.07%
1979,Utilities,108600,1.02,10668500,1.02%
1980,Utilities,118800,1.08,10984000,1.08%
1981,Utilities,127200,1.13,11305100,1.13%
1982,Utilities,123900,1.13,10943600,1.13%
1983,Utilities,111300,1.01,11021900,1.01%
1984,Utilities,108700,0.96,11301800,0.96%
1985,Utilities,110800,0.95,11658000,0.95%
1986,Utilities,112800,0.94,12008500,0.94%
1987,Utilities,114800,0.93,12333100,0.93%
1988,Utilities,122900,0.97,12709600,0.97%
1989,Utilities,134000,1.03,12996200,1.03%
1990,Utilities,140500,1.07,13086400,1.07%
1991,Utilities,142800,1.11,12857500,1.11%
1992,Utilities,143500,1.13,12730800,1.13%
1993,Utilities,137400,1.07,12792700,1.07%
1994,Utilities,127000,0.97,13058800,0.97%
1995,Utilities,123500,0.93,13295500,0.93%
1996,Utilities,124000,0.92,13420100,0.92%
1997,Utilities,115700,0.84,13708300,0.84%
1998,Utilities,114300,0.81,14047100,0.81%
1999,Utilities,114700,0.8,14401900,0.80%
2000,Utilities,115800,0.78,14760300,0.78%
2001,Utilities,122800,0.82,14932400,0.82%
2002,Utilities,131100,0.86,15291200,0.86%
2003,Utilities,130700,0.83,15661100,0.83%
2004,Utilities,132100,0.83,15915200,0.83%
2005,Utilities,123500,0.77,16123500,0.77%
2006,Utilities,121500,0.74,16395900,0.74%
2007,Utilities,137500,0.82,16769400,0.82%
2008,Utilities,146200,0.86,17010100,0.86%
2009,Utilities,144100,0.86,16727600,0.86%
2010,Utilities,141300,0.83,16964200,0.83%
2011,Utilities,137100,0.8,17220800,0.80%
2012,Utilities,133400,0.77,17437900,0.77%
2013,Utilities,135000,0.76,17691100,0.76%
2014,Utilities,136900,0.77,17802200,0.77%
2015,Utilities,137000,0.76,17946400,0.76%
2016,Utilities,137200,0.76,18080000,0.76%
2017,Utilities,132600,0.72,18416400,0.72%
2018,Utilities,144800,0.78,18657700,0.78%
2019,Utilities,139100,0.73,19055500,0.73%
1976,Wholesale and retail trade,1571500,16.12,9747700,16.12%
1977,Wholesale and retail trade,1573900,15.87,9917100,15.87%
1978,Wholesale and retail trade,1634600,15.99,10220000,15.99%
1979,Wholesale and retail trade,1714200,16.07,10668500,16.07%
1980,Wholesale and retail trade,1726200,15.72,10984000,15.72%
1981,Wholesale and retail trade,1758900,15.56,11305100,15.56%
1982,Wholesale and retail trade,1737500,15.88,10943600,15.88%
1983,Wholesale and retail trade,1751000,15.89,11021900,15.89%
1984,Wholesale and retail trade,1812900,16.04,11301800,16.04%
1985,Wholesale and retail trade,1912200,16.4,11658000,16.40%
1986,Wholesale and retail trade,1966100,16.37,12008500,16.37%
1987,Wholesale and retail trade,1982000,16.07,12333100,16.07%
1988,Wholesale and retail trade,2054600,16.17,12709600,16.17%
1989,Wholesale and retail trade,2058900,15.84,12996200,15.84%
1990,Wholesale and retail trade,2077300,15.87,13086400,15.87%
1991,Wholesale and retail trade,2063200,16.05,12857500,16.05%
1992,Wholesale and retail trade,2038400,16.01,12730800,16.01%
1993,Wholesale and retail trade,2027000,15.84,12792700,15.84%
1994,Wholesale and retail trade,2061100,15.78,13058800,15.78%
1995,Wholesale and retail trade,2077500,15.63,13295500,15.63%
1996,Wholesale and retail trade,2095100,15.61,13420100,15.61%
1997,Wholesale and retail trade,2119600,15.46,13708300,15.46%
1998,Wholesale and retail trade,2133400,15.19,14047100,15.19%
1999,Wholesale and retail trade,2224400,15.45,14401900,15.45%
2000,Wholesale and retail trade,2299800,15.58,14760300,15.58%
2001,Wholesale and retail trade,2362700,15.82,14932400,15.82%
2002,Wholesale and retail trade,2398600,15.69,15291200,15.69%
2003,Wholesale and retail trade,2464700,15.74,15661100,15.74%
2004,Wholesale and retail trade,2500700,15.71,15915200,15.71%
2005,Wholesale and retail trade,2569400,15.94,16123500,15.94%
2006,Wholesale and retail trade,2624300,16.01,16395900,16.01%
2007,Wholesale and retail trade,2665000,15.89,16769400,15.89%
2008,Wholesale and retail trade,2678400,15.75,17010100,15.75%
2009,Wholesale and retail trade,2645000,15.81,16727600,15.81%
2010,Wholesale and retail trade,2683400,15.82,16964200,15.82%
2011,Wholesale and retail trade,2677900,15.55,17220800,15.55%
2012,Wholesale and retail trade,2660900,15.26,17437900,15.26%
2013,Wholesale and retail trade,2710700,15.32,17691100,15.32%
2014,Wholesale and retail trade,2729300,15.33,17802200,15.33%
2015,Wholesale and retail trade,2732700,15.23,17946400,15.23%
2016,Wholesale and retail trade,2745900,15.19,18080000,15.19%
2017,Wholesale and retail trade,2809600,15.26,18416400,15.26%
2018,Wholesale and retail trade,2794600,14.98,18657700,14.98%
2019,Wholesale and retail trade,2841800,14.91,19055500,14.91%